id,tokens,ner_tags
13,"Ça
me retourne l’estomac.","[0, 0, 0, 0, 0, 0, 0]"
14,"— On peut pas le laisser se balader et retourner l’estomac
des gens, hein, <PER> Marbie </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
15,C’est pas bon pour la santé publique.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"— Non, non, pas question, <PER> Alem </PER>  », répondit <PER> Marbie </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 0]"
17,Sourire <PER> d’Alem </PER> .,"[0, 0, 2, 2, 2, 2, 2, 0, 0]"
18,« Bien.,"[0, 0, 0]"
19,T’as entendu ce qu’a dit <PER> Marbie </PER>  ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
20,"»
     Et c’est là que <PER> Hummin </PER>  intervint : « Bon, écoutez, vous
deux, <PER> Alem </PER> , <PER> Marbie </PER> , ou je ne sais quoi.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"Vous vous êtes bien
amusés.","[0, 0, 0, 0, 0, 0, 0]"
22,"Alors, si vous déguerpissiez, à présent ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,"»
     <PER> Alem </PER> , qui s’était légèrement penché vers <PER> Seldon </PER> , se
redressa et pivota : « Qui t’es, toi ?","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"— Ça ne vous regarde pas, fit <PER> Hummin </PER> , sèchement.","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
25,— T’es Trantorien ?,"[0, 0, 0, 0, 0, 0, 0, 0]"
26,demanda <PER> Alem </PER> .,"[0, 2, 2, 2, 0, 0]"
27,— Ça ne vous regarde pas non plus.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,"»
     <PER> Alem </PER>  plissa le front et remarqua : « T’es habillé comme un
Trantorien.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"Tu nous intéresses pas, alors viens pas chercher des
crosses.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,— J’ai l’intention de rester.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,"Cela signifie que nous sommes
deux.","[0, 0, 0, 0, 0, 0, 0]"
32,"Deux contre deux, ça n’a pas l’air d’être votre manière de
vous battre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"Alors, si vous partiez chercher du renfort ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"— Je crois franchement que vous auriez intérêt à vous
retirer, <PER> Hummin </PER> , intervint <PER> Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
35,"C’est aimable de votre part
de chercher à me protéger, mais je ne veux pas que vous soyez
blessé.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,"— Ce ne sont pas des individus dangereux, <PER> Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
37,"Des
petites frappes, des demi-sel.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,— Des petites frappes !,"[0, 0, 0, 0, 0, 0]"
39,"» Le terme parut rendre <PER> Alem </PER>
furieux, au point que <PER> Seldon </PER>  jugea qu’il devait avoir un sens
bien plus insultant sur Trantor que sur sa planète natale.","[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,"« Bon, <PER> Marbie </PER> , gronda <PER> Alem </PER> , toi tu t’occupes de l’autre
putain de fils à sa môman pendant que moi je déshabille ce
<PER> Seldon </PER> .","[0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
41,C’est lui qu’on veut.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"Et maintenant... »
     L’homme plaqua les mains sur les revers de sa veste pour le
soulever.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,"<PER> Seldon </PER>  le repoussa, apparemment d’instinct, et sa
chaise bascula en arrière.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"Il chercha à saisir les mains qui se
tendaient vers lui, son pied décolla, et sa chaise roula sur le sol.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"Alors <PER> Alem </PER>  partit en vol plané en tournoyant par-dessus sa
tête pour atterrir brutalement sur le dos.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,<PER> Hummin </PER>  eut un geste méprisant.,"[2, 2, 2, 0, 0, 0, 0, 0, 0]"
47,"« Ils ne me faisaient pas
peur.","[0, 0, 0, 0, 0, 0, 0, 0]"
48,Ce n’étaient que deux petites gouapes fortes en gueule.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"Tout ce que j’ai eu à faire, c’est de leur mettre la main dessus –
 et vous de même, bien sûr.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,"— Plutôt meurtrière, votre poigne », observa <PER> Seldon </PER> ,
songeur.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
51,<PER> Hummin </PER>  haussa les épaules.,"[2, 2, 2, 0, 0, 0, 0]"
52,"« Et la vôtre... » Puis, sans
changer de ton, il enchaîna : « Allons, venez, nous ferions mieux
de partir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,Nous perdons du temps.,"[0, 0, 0, 0, 0, 0]"
54,— Pourquoi partir ?,"[0, 0, 0, 0]"
55,Vous avez peur qu’ils reviennent ?,"[0, 0, 0, 0, 0, 0, 0, 0]"
56,— Ça ne risque pas.,"[0, 0, 0, 0, 0, 0]"
57,"Mais certains de ces braves gens qui
ont décampé tout à l’heure, tant ils étaient pressés de s’épargner
la vue d’un spectacle désagréable, risquent d’avoir prévenu la
police.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,— A la bonne heure.,"[0, 0, 0, 0, 0, 0]"
59,Nous avons le nom de ces voyous.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"Et
nous pouvons sans mal fournir leur signalement.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,— Leur signalement ?,"[0, 0, 0, 0]"
62,Pourquoi la police en voudrait-elle ?,"[0, 0, 0, 0, 0, 0, 0, 0]"
63,"— Ils ont commis une agression...
      — Ne soyez pas stupide.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,Nous n’avons pas une égratignure.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,"Ils sont virtuellement bons pour l’hôpital, surtout <PER> Alem </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
66,"C’est
nous qui risquons d’être poursuivis.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,— Mais c’est impossible.,"[0, 0, 0, 0, 0, 0, 0]"
68,"Ces gens ont été témoins du fait
que...
      — Personne ne sera appelé à témoigner.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,"<PER> Seldon </PER> , mettez-
vous bien ça dans la tête.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"Ces deux-là en avaient après vous – et
vous seul.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"On leur avait dit que vous portiez des vêtements
héliconiens et ils devaient avoir votre signalement.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,"Peut-être
même qu’on leur avait montré un hologramme.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,"Je les
soupçonne d’avoir été envoyés par ceux-là mêmes qui
contrôlent la police ; ne perdons pas plus de temps.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,"»
      Et <PER> Hummin </PER>  s’éloigna en hâte, agrippant <PER> Seldon </PER>  par le bras.","[0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0]"
75,"<PER> Seldon </PER>  se rendit compte qu’il était dans l’impossibilité de se
libérer et, avec l’impression d’être un enfant aux mains d’une
nounou impétueuse, il le suivit.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"Ils plongèrent dans une galerie et, avant que <PER> Seldon </PER>  ait eu
le temps de s’accoutumer à la pénombre, il entendit le
crissement des freins d’un engin de surface.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,"« Les voilà, grommela <PER> Hummin </PER> .","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
78,"Plus vite, <PER> Seldon </PER> .","[0, 0, 0, 2, 2, 2, 0, 0]"
79,"» Ils
bondirent sur un trottoir roulant et bientôt se perdirent dans la
foule.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,fassent leur apparition.,"[0, 0, 0, 0]"
81,Je suis journaliste et Trantorien.,"[0, 0, 0, 0, 0, 0, 0, 0]"
82,"Je sais
comment ça se passe.","[0, 0, 0, 0, 0, 0, 0]"
83,"A un moment, <PER> Alem </PER>  a dit : « C’est lui
qu’on veut.","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,» Vous vous souvenez ?,"[0, 0, 0, 0, 0]"
85,— Il se trouve que oui.,"[0, 0, 0, 0, 0, 0, 0]"
86,"— Pour lui, je n’étais que l’autre ― putain de fils à sa
môman ‖, à tenir en respect pendant qu’il s’occupait
sérieusement de vous régler votre compte.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,"»
     <PER> Hummin </PER>  s’assit sur la chaise et désigna le lit.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,"« Étendez-
vous, <PER> Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
89,Mettez-vous à l’aise.,"[0, 0, 0, 0, 0, 0, 0, 0]"
90,"Le commanditaire de ces
deux malfrats, quel qu’il soit (pour moi, ce doit être <PER> Demerzel </PER> ),
risque de nous en envoyer d’autres, et il va falloir vous
débarrasser de ces vêtements.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,"J’ai l’impression que, dans le
secteur, tout Héliconien surpris en costume local risque d’avoir
des ennuis tant qu’il n’aura pu prouver qu’il n’est pas vous.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,— Oh.,"[0, 0, 0]"
93,"Allons donc...
     — Je ne plaisante pas.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,"Vous allez devoir retirer ces
vêtements et il va falloir qu’on les atomise – si nous parvenons
assez près d’une unité d’enlèvement sans nous faire remarquer.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,"Mais d’abord, tâchons de vous trouver une garde-robe
trantorienne.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,"Vous êtes plus petit que moi... Il va falloir que j’en
tienne compte.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,"Tant pis si les habits ne vous vont pas
parfaitement... »
     <PER> Seldon </PER>  hocha la tête.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0]"
98,"« Je n’ai pas les crédits pour les
payer.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,Je n’ai rien sur moi.,"[0, 0, 0, 0, 0, 0, 0, 0]"
100,"Le peu dont je dispose – et ça ne fait
pas beaucoup – se trouve dans mon coffre à l’hôtel.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,— On s’inquiétera de ça plus tard.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,"Vous allez devoir rester
ici une heure ou deux, le temps que j’aille chercher les
vêtements nécessaires.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,"»
     <PER> Seldon </PER>  ouvrit les mains et poussa un soupir résigné.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104,"« Très
bien.","[0, 0, 0, 0]"
105,"Si c’est si important que ça, je vais rester.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,— Vous n’allez pas tenter de regagner votre hôtel ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,"Parole
d’honneur ?","[0, 0, 0, 0, 0]"
108,— Ma parole de mathématicien.,"[0, 0, 0, 0, 0, 0]"
109,"Mais je suis gêné par toute
la peine que vous prenez pour moi.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,"Et ces dépenses... Après
tout, malgré tous ces discours sur <PER> Demerzel </PER> , ces deux individus
n’étaient pas vraiment prêts à me faire un mauvais sort ou à
m’enlever.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,"On m’a simplement menacé de me déshabiller...
     — Pas uniquement.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,"Ils s’apprêtaient aussi à vous
raccompagner à l’astroport et à vous fourrer dans la première
hypernef pour Hélicon.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
113,"— Sans parler d’éveiller mes soupçons, pourquoi prendre
toute cette peine pour avancer mon départ de quelques heures ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,— Peut-être parce qu’il craint de vous voir changer d’avis.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,"— Et pour aller où, sinon chez moi ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,"S’il peut me récupérer
sur Hélicon, il pourra me récupérer n’importe où.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
117,"Il pourrait me
récupérer sur... Anacréon, facilement à dix mille parsecs de là –
 si l’envie me prenait de m’y rendre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
118,"Qu’est-ce que la distance
pour un vaisseau hyperspatial ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
119,"Même si je trouvais un monde
moins soumis qu’Hélicon aux forces impériales, y en a-t-il un
seul en rébellion ouverte ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120,L’Empire est en paix.,"[0, 0, 0, 0, 0, 0, 0]"
121,"Même si
certains n’ont jamais digéré les injustices passées, pas un ne va
défier les forces armées de <PER> l’Empereur </PER>  pour me protéger.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0]"
122,"Qui
plus est, nulle part ailleurs que sur Hélicon je n’aurai la garantie
de ma citoyenneté locale pour me protéger des entreprises
impériales.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123,"»
       <PER> Hummin </PER>  écouta patiemment, hochant légèrement la tête,
mais l’air toujours aussi grave et impassible.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124,"Puis il répondit :
« Vous avez raison jusque-là, mais il reste un monde qui n’est
pas vraiment contrôlé par <PER> l’Empereur </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
125,"Et c’est là, je crois, ce qui
doit perturber <PER> Demerzel </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
126,"»
       <PER> Seldon </PER>  réfléchit un instant, récapitulant les récents
événements historiques et se trouvant incapable de citer un
monde sur lequel les forces impériales seraient impuissantes.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
127,« Lequel ?,"[0, 0, 0, 0]"
128,demanda-t-il finalement.,"[0, 0, 0, 0, 0, 0, 0]"
129,"— Vous êtes dessus, et c’est bien ce qui rend l’affaire si
dangereuse aux yeux de <PER> Demerzel </PER> , j’imagine.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
130,"Il n’est pas aussi
pressé de vous voir regagner Hélicon que de vous faire quitter
Trantor avant que vous ne vous avisiez – quelle qu’en soit la
raison, même si ce n’est que caprice touristique – de rester ici.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,"»
       Les deux hommes restèrent silencieux jusqu’à ce que
<PER> Seldon </PER>  lance finalement, sardonique : « Trantor !","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,"Capitale de
l’Empire, port d’attache de la flotte sur une station spatiale en
orbite autour d’elle, avec les meilleures unités de l’armée basées
ici.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133,"Si vous croyez que Trantor est le refuge suprême, alors vous
progressez de la paranoïa au franc délire !","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,— Non !,"[0, 0, 0]"
135,"Vous venez d’un monde extérieur, <PER> Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
136,"Vous ne
connaissez pas Trantor.","[0, 0, 0, 0, 0, 0, 0]"
137,"Elle a quarante milliards d’habitants et
rares sont les planètes qui aient seulement le dixième de cette
population.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
138,"Sa complexité technologique et culturelle est
inimaginable.","[0, 0, 0, 0, 0, 0, 0, 0]"
139,"Nous sommes en ce moment même dans le
     — Aussi longtemps que l’exigera votre sécurité, <PER> Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
140,"Le
restant de votre vie, peut-être.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
141,"<PER> Hari Seldon </PER>  observa son portrait holographique affiché par
le projecteur de <PER> Hummin </PER> .","[2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
142,"C’était plus pratique et spectaculaire
qu’avec un miroir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
143,"En fait, on aurait cru que son double était
présent dans la pièce.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
