id,tokens,ner_tags
10,— Par le ministre des Sciences ?,"[0, 0, 0, 0, 0, 0, 0]"
11,— Effectivement.,"[0, 0, 0]"
12,"Il m’a appris que ce <PER> Hari Seldon </PER>  a assisté
à un congrès de mathématiciens ici même, à Trantor – ils
l’organisent tous les dix ans, pour je ne sais quelle raison ; il
aurait démontré qu’on peut prévoir mathématiquement
l’avenir.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,"»
     <PER> Demerzel </PER>  se permit un petit sourire.","[0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
14,"« Ou le ministre des
Sciences, homme sans grande jugeote, a été induit en erreur, ou
ce mathématicien s’est trompé.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"Il ne fait aucun doute que cette
histoire de prédiction de l’avenir relève d’un puéril rêve de
magie.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,"— En êtes-vous sûr, <PER> Demerzel </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]"
17,"Les gens croient ce genre
de chose.","[0, 0, 0, 0, 0, 0, 0, 0]"
18,"— Les gens croient bien des choses, <PER> Sire </PER>  !","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
19,— Mais particulièrement celle-ci.,"[0, 0, 0, 0, 0, 0, 0, 0]"
20,"Par conséquent, peu
importe que la prédiction de l’avenir soit ou non une réalité,
n’est-ce pas ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,"Si un mathématicien devait me prédire un règne
long et heureux, et pour l’Empire une ère de paix et de
prospérité... eh bien, ne serait-ce pas une bonne chose ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,"— Ce serait assurément agréable à entendre, mais ça nous
avancerait à quoi, <PER> Sire </PER>  ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]"
23,"— Eh bien, si les gens croyaient ça, ils agiraient
certainement selon cette croyance.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,"Bien des prophéties, par la
seule force de la croyance qu’elles engendrent, se sont muées en
réalité.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,"Ce sont ce qu’on appelle des « prophéties auto-
accomplissantes ».","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,"D’ailleurs, maintenant que j’y pense, c’est
même vous qui me l’avez expliqué un jour.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,"— Je le crois bien, <PER> Sire </PER>  », répondit <PER> Demerzel </PER> .","[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 2, 2, 2, 2, 0, 0]"
28,"Ses yeux
scrutaient attentivement <PER> l’Empereur </PER> , comme pour voir jusqu’où
il pouvait se permettre d’aller.","[0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,"« Pourtant, s’il devait en être
ainsi, n’importe qui pourrait prophétiser.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"— Les prophètes ne seraient pas tous également crédibles,
<PER> Demerzel </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
31,"Pourtant un mathématicien, capable de soutenir sa
prophétie à coups de formules et de terminologie, pourrait bien
n’être compréhensible pour personne et néanmoins crédible
pour tout le monde.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,"— Comme toujours, <PER> Sire </PER> , remarqua <PER> Demerzel </PER> , vous faites
preuve de bon sens.","[0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"Nous vivons en des temps troublés et il ne
      « <PER> Lieutenant Alban Wellis </PER> , dit l’officier de la garde
impériale avant de ranger sa carte.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,"Voulez-vous bien me suivre,
monsieur ?","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,"»
      <PER> Wellis </PER>  était armé, bien sûr.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
36,"Et deux autres gardes
attendaient devant sa porte.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,"<PER> Seldon </PER>  savait qu’il n’avait pas le
choix, nonobstant les circonlocutions polies de l’autre, mais rien
ne lui interdisait de chercher à en savoir plus : « Pour voir
<PER> l’Empereur </PER>  ?","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0]"
38,"— Pour être conduit au Palais, monsieur.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,"Tels sont les
ordres que j’ai reçus.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,— Mais pourquoi ?,"[0, 0, 0, 0]"
41,— On ne me l’a pas dit.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,"Et mes ordres sont stricts : vous
devez me suivre... d’une manière ou de l’autre.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,— Mais cela ressemble fort à une arrestation.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,"Je n’ai
pourtant rien commis de répréhensible.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,"— Disons plutôt, monsieur, que l’on vous fournit une garde
d’honneur, si vous ne tardez pas davantage.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,"»
      <PER> Seldon </PER>  ne tarda pas plus.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
47,"Il pinça les lèvres, comme pour
retenir de nouvelles questions, hocha la tête, avança d’un pas.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,"Même si c’était pour être présenté à <PER> l’Empereur </PER>  et recevoir ses
félicitations, il n’y trouvait aucun plaisir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,"Il était pour l’Empire –
 enfin, pour la paix et l’unité des mondes formant l’humanité –,
mais il n’était pas pour <PER> l’Empereur </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0]"
50,"Le lieutenant le précéda, les deux autres fermant la
marche.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,"<PER> Seldon </PER>  sourit aux passants qu’il croisait, essayant de
prendre un air dégagé.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,"Une fois sortis de l’hôtel, ils montèrent
dans un véhicule terrestre officiel (<PER> Seldon </PER>  caressa de la main les
garnitures intérieures : jamais il n’avait vu quelque chose
d’aussi ouvragé).","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,"Ils se trouvaient dans un des secteurs les plus opulents de
Trantor : ici, le dôme était assez haut pour vous donner
l’impression d’être à l’air libre et l’on aurait pu jurer – même
quelqu’un comme <PER> Hari Seldon </PER>  qui était né et avait grandi dans
un monde ouvert – qu’on était à la lumière naturelle.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"Certes, il
n’y avait ni ombre ni soleil, mais l’air était léger et parfumé.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,"Et puis l’impression se dissipa, la courbure du dôme
s’accentua, les parois se rétrécirent et bientôt ils s’enfonçaient
dans un tunnel confiné, balisé à intervalles réguliers par
l’emblème au Soleil et à l’Astronef et donc réservé (de l’avis de
<PER> Seldon </PER> ) aux véhicules officiels.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
56,"<PER> Seldon </PER>  fut introduit dans une pièce de taille moyenne,
meublée avec ostentation, où l’attendait un homme d’allure
jeune, assis au coin d’une table dans une alcôve devant une
fenêtre, un pied par terre et l’autre ballant ; il s’étonna qu’un
fonctionnaire pût le considérer avec une attitude si dégagée, si
enjouée.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,"Il avait déjà maintes fois pu constater que les
représentants de l’autorité – et particulièrement ceux de
l’entourage impérial – avaient en permanence l’air grave,
comme si le poids de la Galaxie entière reposait sur leurs
épaules.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,"Et il semblait que moins leur rang était élevé, plus leur
expression était menaçante.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,"Il devait donc s’agir d’un officier placé si haut dans la
hiérarchie, irradié à tel point par le soleil du pouvoir, qu’il
n’éprouvait nullement le besoin de le voiler derrière une
physionomie compassée.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,"<PER> Seldon </PER>  ne savait pas dans quelle mesure il devait avoir l’air
impressionné ; il jugea préférable de garder le silence et de
laisser l’autre entamer la conversation.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,"Le fonctionnaire prit la parole : « Vous êtes <PER> Hari Seldon </PER> ,
n’est-ce pas ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,Le mathématicien ?,"[0, 0, 0]"
63,"»
      <PER> Seldon </PER>  se contenta de répondre : « Oui, monsieur », puis
attendit.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,Le jeune homme fit un geste du bras.,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,"« Ce devrait être
― <PER> Sire </PER>  ‖, mais j’ai le protocole en horreur.","[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
66,"C’est tout ce que
j’obtiens et je commence à m’en lasser.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,"Nous sommes entre
nous ; je vais me faire plaisir et laisser tomber le cérémonial.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
68,"Asseyez-vous donc, professeur.","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
69,"»
      C’est à mi-tirade que <PER> Seldon </PER>  comprit qu’il s’adressait à
<PER> l’empereur Cléon </PER> , premier du nom, ce qui lui coupa la
respiration.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,"Il y avait effectivement un vague faux air de
ressemblance, maintenant qu’il y regardait de plus près, avec
l’hologramme officiel que l’on voyait constamment aux
informations, mais sur ces portraits, <PER> Cléon </PER> , toujours vêtu de
manière imposante, semblait plus grand, plus noble, les traits
figés.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,"Et voilà qu’il se retrouvait devant l’original, et quelque part
l’homme lui semblait parfaitement ordinaire.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,<PER> Seldon </PER>  ne bougea pas.,"[2, 2, 2, 0, 0, 0, 0, 0]"
73,"<PER> L’Empereur </PER>  esquissa un froncement de sourcils et, avec
cette habitude du commandement toujours présente même
     <PER> Seldon </PER>  éprouva soudain une grande lassitude.","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
74,"C’était à
croire que cette erreur d’interprétation devrait constamment
entacher sa théorie.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,"Peut-être n’aurait-il pas dû présenter son
article.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,"« Non, pas exactement, répondit-il.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,"Ce que j’ai fait est bien
plus limité.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,"Dans de nombreux systèmes, la situation est telle
que, dans certaines conditions, des événements chaotiques
surviennent.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,"Cela signifie que, au-delà d’un certain point, il
devient impossible de prédire leur enchaînement.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
80,"C’est
également vrai dans le cas de systèmes relativement simples,
mais plus leur complexité s’accroît, plus le risque de chaos
grandit.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,"On a toujours supposé qu’un système aussi complexe
qu’une société humaine était destiné à devenir rapidement
chaotique et, par conséquent, imprévisible.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,"J’ai seulement
démontré qu’en étudiant la société humaine, il est possible de
choisir un point de départ et de faire des hypothèses
appropriées qui supprimeront le chaos.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
83,"Cela permettra de
prédire l’avenir, non pas en détail, bien sûr, mais dans ses
grandes lignes ; pas avec certitude, mais avec des probabilités
calculables.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,"»
     <PER> L’Empereur </PER> , qui l’avait écouté avec attention, remarqua :
« Mais cela n’équivaut-il pas à une méthode pour prédire
l’avenir ?","[0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,"— Encore une fois, pas exactement.","[0, 0, 0, 0, 0, 0, 0, 0]"
86,"J’ai montré que c’était
possible en théorie, rien de plus.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,"Pour aller plus loin, il nous
faudrait choisir un point de départ adéquat, poser les
hypothèses correctes et trouver ensuite le moyen d’effectuer
l’ensemble des calculs dans un temps fini.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,"Rien dans ma
démonstration ne permet d’entrevoir la solution d’aucun de ces
problèmes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
89,"Et même si c’était faisable, nous pourrions, au
mieux, calculer de simples probabilités.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,"Ce n’est pas là prédire,
mais plutôt supposer ce qui est susceptible d’arriver.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,"Tout bon
politicien, tout homme d’affaires, tout individu de quelque
influence doit effectuer ce genre de projection sur l’avenir, et si
possible sans se tromper, sous peine d’échec.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,— Ils le font sans l’aide des mathématiques.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,— Exact.,"[0, 0, 0, 0]"
94,Par intuition.,"[0, 0, 0]"
95,"— Avec l’outil mathématique adéquat, n’importe qui serait
capable de calculer ces probabilités.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,"Pas besoin de l’oiseau rare
qui réussit grâce à une remarquable intuition.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,— Peut-être.,"[0, 0, 0, 0, 0]"
98,"Mon analyse mathématique implique que
l’ordre doit être sous-jacent à toutes choses, si désordonnées
puissent-elles apparaître, mais elle ne fournit aucun indice
quant à la méthode pour le découvrir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,"Imaginez... vingt-cinq
millions de mondes, chacun avec ses caractéristiques et sa
culture, chacun significativement différent de tous les autres,
chacun contenant un milliard ou plus d’êtres humains dotés
d’un esprit individuel, et tous ces mondes interagissant
d’innombrables manières, en d’innombrables combinaisons !","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,"Même si, en théorie, une analyse psychohistorique est possible,
il est peu probable que ce soit réalisable en pratique.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,— Qu’entendez-vous par « psychohistorique » ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,"— J’ai donné à l’évaluation théorique des probabilités
concernant l’avenir le nom de « psychohistoire ».","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,"<PER> L’Empereur </PER>  se leva brusquement, gagna l’autre bout de la
pièce, pivota, revint sur ses pas puis s’arrêta devant <PER> Seldon </PER> ,
toujours assis, immobile.","[2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
104,« Debout !,"[0, 0, 0, 0]"
105,» ordonna-t-il.,"[0, 0, 0, 0, 0, 0, 0]"
106,"<PER> Seldon </PER>  obéit et leva les yeux vers <PER> l’Empereur </PER>  qui le
dominait quelque peu.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0]"
